urn:cite:croala:latmorph.morph.4754752.1,v-sppamb-,"participium, praesens, singularis, masculinum, ablativus"
urn:cite:croala:latmorph.morph.4754756.1,v-sppdmb-,"participium, deponens, praesens, singularis, masculinum, ablativus"
urn:cite:croala:latmorph.morph.4754760.1,v-sppafn-,"participium, praesens, singularis, femininum, nominativus"
urn:cite:croala:latmorph.morph.4754764.1,v-sppdfn-,"participium, deponens, praesens, singularis, femininum, nominativus"
urn:cite:croala:latmorph.morph.4754768.1,v-sppafg-,"participium, praesens, singularis, femininum, genitivus"
urn:cite:croala:latmorph.morph.4754772.1,v-sppdfg-,"participium, deponens, praesens, singularis, femininum, genitivus"
urn:cite:croala:latmorph.morph.4754776.1,v-sppafd-,"participium, deponens, praesens, singularis, femininum, dativus"
urn:cite:croala:latmorph.morph.4754780.1,v-sppdfd-,"participium, deponens, praesens, singularis, femininum, dativus"
urn:cite:croala:latmorph.morph.4754784.1,v-sppafa-,"participium, praesens, singularis, femininum, accusativus"
urn:cite:croala:latmorph.morph.4754788.1,v-sppdfa-,"participium, deponens, praesens, singularis, femininum, accusativus"
urn:cite:croala:latmorph.morph.4754792.1,v-sppafv-,"participium, praesens, singularis, femininum, vocativus"
urn:cite:croala:latmorph.morph.4754796.1,v-sppdfv-,"participium, deponens, praesens, singularis, femininum, vocativus"
urn:cite:croala:latmorph.morph.4754800.1,v-sppafb-,"participium, praesens, singularis, femininum, ablativus"
urn:cite:croala:latmorph.morph.4754804.1,v-sppdfb-,"participium, deponens, praesens, singularis, femininum, ablativus"
urn:cite:croala:latmorph.morph.4754808.1,v-sppann-,"participium, praesens, singularis, neutrum, nominativus"
urn:cite:croala:latmorph.morph.4754812.1,v-sppdnn-,"participium, deponens, praesens, singularis, neutrum, nominativus"
urn:cite:croala:latmorph.morph.4754816.1,v-sppang-,"participium, praesens, singularis, neutrum, genitivus"
urn:cite:croala:latmorph.morph.4754820.1,v-sppdng-,"participium, deponens, praesens, singularis, neutrum, genitivus"
urn:cite:croala:latmorph.morph.4754824.1,v-sppand-,"participium, deponens, praesens, singularis, neutrum, dativus"
urn:cite:croala:latmorph.morph.4754828.1,v-sppdnd-,"participium, deponens, praesens, singularis, neutrum, dativus"
urn:cite:croala:latmorph.morph.4754832.1,v-sppana-,"participium, praesens, singularis, neutrum, accusativus"
urn:cite:croala:latmorph.morph.4754836.1,v-sppdna-,"participium, deponens, praesens, singularis, neutrum, accusativus"
urn:cite:croala:latmorph.morph.4754840.1,v-sppanv-,"participium, praesens, singularis, neutrum, vocativus"
urn:cite:croala:latmorph.morph.4754844.1,v-sppdnv-,"participium, deponens, praesens, singularis, neutrum, vocativus"
urn:cite:croala:latmorph.morph.4754848.1,v-sppanb-,"participium, praesens, singularis, neutrum, ablativus"
urn:cite:croala:latmorph.morph.4754852.1,v-sppdnb-,"participium, deponens, praesens, singularis, neutrum, ablativus"
urn:cite:croala:latmorph.morph.4754856.1,v-pppamn-,"participium, praesens, pluralis, masculinum, nominativus"
urn:cite:croala:latmorph.morph.4754860.1,v-pppdmn-,"participium, deponens, praesens, pluralis, masculinum, nominativus"
urn:cite:croala:latmorph.morph.4754864.1,v-pppamg-,"participium, praesens, pluralis, masculinum, genitivus"
urn:cite:croala:latmorph.morph.4754868.1,v-pppdmg-,"participium, deponens, praesens, pluralis, masculinum, genitivus"
urn:cite:croala:latmorph.morph.4754872.1,v-pppamd-,"participium, deponens, praesens, pluralis, masculinum, dativus"
urn:cite:croala:latmorph.morph.4754876.1,v-pppdmd-,"participium, deponens, praesens, pluralis, masculinum, dativus"
urn:cite:croala:latmorph.morph.4754880.1,v-pppama-,"participium, praesens, pluralis, masculinum, accusativus"
urn:cite:croala:latmorph.morph.4754884.1,v-pppdma-,"participium, deponens, praesens, pluralis, masculinum, accusativus"
urn:cite:croala:latmorph.morph.4754888.1,v-pppamv-,"participium, praesens, pluralis, masculinum, vocativus"
urn:cite:croala:latmorph.morph.4754892.1,v-pppdmv-,"participium, deponens, praesens, pluralis, masculinum, vocativus"
urn:cite:croala:latmorph.morph.4754896.1,v-pppamb-,"participium, praesens, pluralis, masculinum, ablativus"
urn:cite:croala:latmorph.morph.4754900.1,v-pppdmb-,"participium, deponens, praesens, pluralis, masculinum, ablativus"
urn:cite:croala:latmorph.morph.4754904.1,v-pppafn-,"participium, praesens, pluralis, femininum, nominativus"
urn:cite:croala:latmorph.morph.4754908.1,v-pppdfn-,"participium, deponens, praesens, pluralis, femininum, nominativus"
urn:cite:croala:latmorph.morph.4754912.1,v-pppafg-,"participium, praesens, pluralis, femininum, genitivus"
urn:cite:croala:latmorph.morph.4754916.1,v-pppdfg-,"participium, deponens, praesens, pluralis, femininum, genitivus"
urn:cite:croala:latmorph.morph.4754920.1,v-pppafd-,"participium, deponens, praesens, pluralis, femininum, dativus"
urn:cite:croala:latmorph.morph.4754924.1,v-pppdfd-,"participium, deponens, praesens, pluralis, femininum, dativus"
urn:cite:croala:latmorph.morph.4754928.1,v-pppafa-,"participium, praesens, pluralis, femininum, accusativus"
urn:cite:croala:latmorph.morph.4754932.1,v-pppdfa-,"participium, deponens, praesens, pluralis, femininum, accusativus"
urn:cite:croala:latmorph.morph.4754936.1,v-pppafv-,"participium, praesens, pluralis, femininum, vocativus"
urn:cite:croala:latmorph.morph.4754940.1,v-pppdfv-,"participium, deponens, praesens, pluralis, femininum, vocativus"
urn:cite:croala:latmorph.morph.4754944.1,v-pppafb-,"participium, praesens, pluralis, femininum, ablativus"
urn:cite:croala:latmorph.morph.4754948.1,v-pppdfb-,"participium, deponens, praesens, pluralis, femininum, ablativus"
urn:cite:croala:latmorph.morph.4754952.1,v-pppann-,"participium, praesens, pluralis, neutrum, nominativus"
urn:cite:croala:latmorph.morph.4754956.1,v-pppdnn-,"participium, deponens, praesens, pluralis, neutrum, nominativus"
urn:cite:croala:latmorph.morph.4754960.1,v-pppang-,"participium, praesens, pluralis, neutrum, genitivus"
urn:cite:croala:latmorph.morph.4754964.1,v-pppdng-,"participium, deponens, praesens, pluralis, neutrum, genitivus"
urn:cite:croala:latmorph.morph.4754968.1,v-pppand-,"participium, deponens, praesens, pluralis, neutrum, dativus"
urn:cite:croala:latmorph.morph.4754972.1,v-pppdnd-,"participium, deponens, praesens, pluralis, neutrum, dativus"
urn:cite:croala:latmorph.morph.4754976.1,v-pppana-,"participium, praesens, pluralis, neutrum, accusativus"
urn:cite:croala:latmorph.morph.4754980.1,v-pppdna-,"participium, deponens, praesens, pluralis, neutrum, accusativus"
urn:cite:croala:latmorph.morph.4754984.1,v-pppanv-,"participium, praesens, pluralis, neutrum, vocativus"
urn:cite:croala:latmorph.morph.4754988.1,v-pppdnv-,"participium, deponens, praesens, pluralis, neutrum, vocativus"
urn:cite:croala:latmorph.morph.4754992.1,v-pppanb-,"participium, praesens, pluralis, neutrum, ablativus"
urn:cite:croala:latmorph.morph.4754996.1,v-pppdnb-,"participium, deponens, praesens, pluralis, neutrum, ablativus"
urn:cite:croala:latmorph.morph.4755000.1,v-srppmn-,"participium, perfectum, singularis, masculinum, nominativus"
urn:cite:croala:latmorph.morph.4755004.1,v-srpdmn-,"participium, deponens, perfectum, singularis, masculinum, nominativus"
urn:cite:croala:latmorph.morph.4755008.1,v-srppmg-,"participium, perfectum, singularis, masculinum, genitivus"
urn:cite:croala:latmorph.morph.4755012.1,v-srpdmg-,"participium, deponens, perfectum, singularis, masculinum, genitivus"
urn:cite:croala:latmorph.morph.4755016.1,v-srppmd-,"participium, deponens, perfectum, singularis, masculinum, dativus"
