estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Euphrates,"Tigris et Euphrates sacrabitur , Indus , Hidaspes ,",Euphrates,urn:cite:perseus:latlexent.lex3131.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l85.w3,18312.0,,,,,,,,,,,,,,,,,
estlocus1,Indus,"Tigris et Euphrates sacrabitur , Indus , Hidaspes ,",Indus,urn:cite:perseus:latlexent.lex4040.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l85.w5,18324.0,,,,,,,,,,,,,,,,,
estlocus1,Hidaspes,"Tigris et Euphrates sacrabitur , Indus , Hidaspes ,",Hydaspes,urn:cite:perseus:latlexent.lex3864.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l85.w6,18332.0,,,,,,,,,,,,,,,,,
estlocus1,Araxes,"Inque pios latices uerti exultabit Araxes ,",Araxes,urn:cite:perseus:latlexent.lex763.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l87.w6,18392.0,,,,,,,,,,,,,,,,,
estlocus3,Arabs,"Thrax , Scytha , Maurus , Arabs , concors ditione sub una ,",Arabs,urn:cite:croala:latlexent.lex50019.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l99.w4,18861.0,,,,,,,,,,,,,,,,,
estlocus2,Hetruscis,"Tybris et Hetruscis Ilia mater aquis ,",Etruscus,urn:cite:perseus:latlexent.lex3097.1,urn:cite:croala:latmorph.morph.47.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div4.l16.w3,19498.0,,,,,,,,,,,,,,,,,
estlocus2,Antenoreo,Siue Antenoreo genitrix Aquileia Timauo,Antenoreus,urn:cite:croala:latlexent.lex50020.1,urn:cite:croala:latmorph.morph.120.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div4.l17.w2,19526.0,,,,,,,,,,,,,,,,,
estlocus1,Aquileia,Siue Antenoreo genitrix Aquileia Timauo,Aquileia,urn:cite:perseus:latlexent.lex735.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div4.l17.w4,19534.0,,,,,,,,,,,,,,,,,
estlocus2,Ionio,Turpiter Ionio lintea mille mari .,Ionius,urn:cite:perseus:latlexent.lex4080.1,urn:cite:croala:latmorph.morph.135.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div4.l76.w2,21460.0,,,,,,,,,,,,,,,,,
estlocus1,Florentiam,5 . Ad Florentiam postulantem leuam Sancti Ioannis,Florentia,urn:cite:perseus:latlexent.lex3284.1,urn:cite:croala:latmorph.morph.1.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.head.w3,21706.0,,,,,,,,,,,,,,,,,
estlocus3,Aegypthusne,Aegypthusne canes et sua monstra daret ?,Aegyptus,urn:cite:perseus:latlexent.lex216.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l46.w1,23289.0,,,,,,,,,,,,,,,,,
estlocus1,Florentia,"Tu uero poscis , quam nos , Florentia , sacram",Florentia,urn:cite:perseus:latlexent.lex3284.1,urn:cite:croala:latmorph.morph.7.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l47.w6,23349.0,,,,,,,,,,,,,,,,,
estlocus1,Florentia,"Quam , rogo , quam leuam poscit Florentia ? Vel si",Florentia,urn:cite:perseus:latlexent.lex3284.1,urn:cite:croala:latmorph.morph.6.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l5.w6,21906.0,,,,,,,,,,,,,,,,,
estlocus2,Itala,Accedet nostris Itala terra malis .,Italus,urn:cite:perseus:latlexent.lex4144.1,urn:cite:croala:latmorph.morph.108.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l88.w3,24860.0,,,,,,,,,,,,,,,,,
estlocus1,Ister,Sat coniuratus Tanais peccauit et Ister,Ister,urn:cite:perseus:latlexent.lex4135.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l93.w6,25044.0,,,,,,,,,,,,,,,,,
estlocus4,Bandala,"Bandala sat tulimus Sarranaque saecula , Romae",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l95.w1,25080.0,,,,,,,,,,,,,,,,,
estlocus4,Iudaea,Aut alios latices quam gens Iudaea propinat,Judaeus,urn:cite:croala:latlexent.lex50022.1,urn:cite:croala:latmorph.morph.108.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l10.w6,38731.0,,,,,,,,,,,,,,,,,
estlocus1,Iordanis,"Crimina , Iordanis refluo conuersa refluxit",Jordanis,urn:cite:croala:latlexent.lex50023.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l114.w2,42251.0,,,,,,,,,,,,,,,,,
estlocus4,Iudaea,"Hunc , gentes , audite ! Tamen , Iudaea propago ,",Judaeus,urn:cite:croala:latlexent.lex50022.1,urn:cite:croala:latmorph.morph.111.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l117.w5,42390.0,,,,,,,,,,,,,,,,,
estlocus2,Erythraei,Rursus Erythraei diuisa per aequora ponti,Erythraeus,urn:cite:croala:latlexent.lex50042.1,urn:cite:croala:latmorph.morph.123.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l128.w2,42746.0,,,,,,,,,,,,,,,,,
estlocus4,Hymetia,Et Siculum nectar praestant et Hymetia mella .,Hymettius,urn:cite:croala:latlexent.lex50043.1,urn:cite:croala:latmorph.morph.77.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l16.w6,38934.0,,,,,,,,,,,,,,,,,
estlocus4,Herebus,Aut Herebus uasta caligine teter opacet .,Erebus,urn:cite:perseus:latlexent.lex3053.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l167.w2,44185.0,,,,,,,,,,,,,,,,,
estlocus4,Falerna,"Vina Falerna solent , circumfluit ubere pleno",Falernus,urn:cite:perseus:latlexent.lex3187.1,urn:cite:croala:latmorph.morph.89.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l207.w2,45464.0,,,,,,,,,,,,,,,,,
estlocus2,Cyrrhaeo,"Flumina , nec fragiles Cyrrhaeo e uertice laurus ,",Cirrhaeus,urn:cite:croala:latlexent.lex50044.1,urn:cite:croala:latmorph.morph.117.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l5.w4,38547.0,,,,,,,,,,,,,,,,,
estlocus4,Iudaea,"Gens Iudaea ferox , immanior omnibus una",Judaeus,urn:cite:croala:latlexent.lex50022.1,urn:cite:croala:latmorph.morph.108.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l60.w2,40451.0,,,,,,,,,,,,,,,,,
estlocus1,Iordanis,"Teque Iordanis sacer irrigauit ,",Jordanis,urn:cite:croala:latlexent.lex50023.1,urn:cite:croala:latmorph.morph.13.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div3.l3.w2,51216.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,"Hostium uictrix , Acherontis horror ,",Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.11.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div3.l57.w3,52398.0,,,,,,,,,,,,,,,,,
estlocus4,Acheloia,"Num si Trinacrias , Acheloia monstra , uolucres",Acheloius,urn:cite:perseus:latlexent.lex83.1,urn:cite:croala:latmorph.morph.77.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div6.l104.w4,67645.0,,,,,,,,,,,,,,,,,
