estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Cantabria,"Pectora turbabat , ueluti Cantabria cautes",Cantaber,urn:cite:perseus:latlexent.lex1741.1,urn:cite:croala:latmorph.morph.89.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l202.w4,987794.0,,,,,,,,,,,,,,,,,
estlocus1,Carthago,Perfida Carthago deuictaque Pergama flammis,Carthago,urn:cite:perseus:latlexent.lex1827.1,urn:cite:croala:latmorph.morph.6.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l18.w2,969409.0,,,,,,,,,,,,,,,,,
estlocus1,Caucasei,"Quantaque Caucasei dorsi iuga , quanta Pachinni",Caucasus,urn:cite:perseus:latlexent.lex1909.1,urn:cite:croala:latmorph.morph.123.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l196.w2,999367.0,,,,,,,,,,,,,,,,,
estlocus1,Caycus,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Caycus,urn:cite:perseus:latlexent.lex1919.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w5,977283.0,,,,,,,,,,,,,,,,,
estlocus1,Chaonius,Vt quum Chaonius quondam latrator euntis,Chaonius,urn:cite:perseus:latlexent.lex2037.1,urn:cite:croala:latmorph.morph.126.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l166.w3,986610.0,,,,,,,,,,,,,,,,,
estlocus4,Chaos,"Ferre nefas , res prima , Chaos , quae rite silendo",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l209.w5,999860.0,,,,,,,,,,,,,,,,,
estlocus1,Chimaera,Fumantes horrenda globos terno ore Chimaera .,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l39.w6,970152.0,,,,,,,,,,,,,,,,,
estlocus1,Chimaerae,Flammiferae seu templa colis Patarea Chimaerae .,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l13.w6,969248.0,,,,,,,,,,,,,,,,,
estlocus1,Cocyte,"Et ripis , Cocyte , tuis graue labile flumen .",Cocytus,urn:cite:perseus:latlexent.lex2275.1,urn:cite:croala:latmorph.morph.14.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l205.w3,999684.0,,,,,,,,,,,,,,,,,
estlocus1,Cocyti,Sed neque Cocyti nox importuna nec Orci,Cocytus,urn:cite:perseus:latlexent.lex2275.1,,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l257.w3,989645.0,,,,,,,,,,,,,,,,,
estlocus1,Colchon,"Colchon , et Oethei ducebat Phasydos undas ,",Colchis,urn:cite:perseus:latlexent.lex2289.1,urn:cite:croala:latmorph.morph.8.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l116.w1,973041.0,,,,,,,,,,,,,,,,,
estlocus1,Corinthiaco,Mira Corinthiaco narrabat facta tyranno .,Corinthiacus,urn:cite:croala:latlexent.lex50066.1,urn:cite:croala:latmorph.morph.117.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l327.w2,1003862.0,,,,,,,,,,,,,,,,,
estlocus1,Cyllenia,Sed lyra iam reticet lassi Cyllenia Phoebi .,Cyllenius,urn:cite:perseus:latlexent.lex2575.1,urn:cite:croala:latmorph.morph.108.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l347.w6,1004550.0,,,,,,,,,,,,,,,,,
estlocus1,Cyllenis,Cyllenis fidibus uoces imitata canentis .,Cyllene,urn:cite:perseus:latlexent.lex2574.1,urn:cite:croala:latmorph.morph.22.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l95.w1,984191.0,,,,,,,,,,,,,,,,,
estlocus4,Cyntho,Seu tua Latoo potius cunabula Cyntho,Cynthus,urn:cite:perseus:latlexent.lex2600.1,urn:cite:croala:latmorph.morph.9.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l12.w6,969219.0,,,,,,,,,,,,,,,,,
estlocus4,Cypria,"Cypria diua , geris candenti in corpore uulnus . """,Cyprius,urn:cite:perseus:latlexent.lex2610.1,urn:cite:croala:latmorph.morph.111.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l189.w1,999100.0,,,,,,,,,,,,,,,,,
estlocus4,Cytheri,Siluas Idalii et nemus Cytheri,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l2.w5,967875.0,,,,,,,,,,,,,,,,,
estlocus1,Dalmaticus,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",Dalmaticus,urn:cite:croala:latlexent.lext89179.1,urn:cite:croala:latmorph.morph.126.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l225.w1,977263.0,,,,,,,,,,,,,,,,,
estlocus1,Dardana,"Mox ait , "" ad caelum raptus , quoi Dardana pubes",Dardanus,urn:cite:perseus:latlexent.lex2688.1,urn:cite:croala:latmorph.morph.108.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l260.w7,978540.0,,,,,,,,,,,,,,,,,
estlocus1,Delphinas,Delphinas stimulate uagos ! Cristalla ferantur,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l180.w1,975630.0,,,,,,,,,,,,,,,,,
estlocus4,Dictaei,Dictaei fratres saeuas Acherontis habenas,Dictaeus,urn:cite:perseus:latlexent.lex2781.1,urn:cite:croala:latmorph.morph.71.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l43.w1,994094.0,,,,,,,,,,,,,,,,,
estlocus1,Dircaei,"Obtestor Phoebi et Dircaei Amphionis urbem ,",Dircaeus,urn:cite:croala:latlexent.lext89184.1,urn:cite:croala:latmorph.morph.123.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l47.w4,982462.0,,,,,,,,,,,,,,,,,
estlocus4,Dis,"Dis pater , ignitis produnt quae faucibus alta",LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l128.w1,997035.0,,,,,,,,,,,,,,,,,
estlocus4,Dis,Dis impune putans ad apertos emicat artus,Dis,urn:cite:perseus:latlexent.lex2834.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l241.w1,1001036.0,,,,,,,,,,,,,,,,,
