estLocus,Nomen,Textus,LEMMA,AETATIS CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE
estlocus4,Erebo,"Atraque nigrantes Erebo nox intulit alas ,",Erebus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l4.w3,980993
estlocus4,Oceanus,Oceanus Scythico balaenis aequore iunctis,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l6.w1,981047
estlocus1,Scythico,Oceanus Scythico balaenis aequore iunctis,Scythicus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l6.w2,981051
estlocus4,Orbe,"Orbe trahens , causa et tantae uenit ecce procellae :",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l21.w1,981534
estlocus4,Oceanoque,"Oceanoque fuga pulsae maria alta petebant ,",Oceanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l23.w1,981604
estlocus1,Orcadas,Orcadas et magnos rapiat fuga in aequora montes .,Orcades,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l27.w1,981736
estlocus4,Oceanus,"Tum pater Oceanus casum miseratus iniquum acerbum ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l41.w3,982230
estlocus4,Orcus,Diuulsam membris animam insaturabilis Orcus,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l43.w5,982322
estlocus1,Stygiis,Deuorat ; haec Stygiis centum damnata per annos,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l44.w3,982343
estlocus1,Dircaei,"Obtestor Phoebi et Dircaei Amphionis urbem ,",Dircaeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l47.w4,982462
estlocus1,Phlegethonta,Phlegethonta,Phlegethon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l53.app.rdg2.w,982710
estlocus1,Phlegetonta,Phlegetonta,Phlegethon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l53.app.rdg3.w,982719
estlocus1,Olympo,"Tu uotis fruere fruerere tuis , foret alter Olympo",Olympus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l61.w6,983027
estlocus1,Saturnia,"Iuppiter Alcides , Saturnia regna redirent .",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l62.w3,983048
estlocus1,Acherontis,Sed si uictorem spoliis Acherontis iniqui,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l63.w5,983085
estlocus1,Arcada,Sarcophagi : uolucrem mihi Iuppiter Arcada caelo,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l66.w5,983188
estlocus4,Ditem,"Demittet , uincat linguae qui fulmine Ditem",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l67.w6,983225
estlocus1,Stygiae,Proripit Alcides Stygiae se ad stagna paludis .,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l71.w3,983369
estlocus4,Ditis,Sospes et ad dominam Ditis sua munera ferre .,Dis,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l87.w5,983955
estlocus1,Cyllenis,Cyllenis fidibus uoces imitata canentis .,Cyllene,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l95.w1,984191
estlocus1,Phlegeton,"Semina , quae Phlegeton dias produxit in oras ,",Phlegethon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l98.w3,984286
estlocus1,Germanosque,Germanosque Ioues diuisaque regna canebat .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l99.w1,984315
estlocus1,Rhodopeius,"Talia dum cantu celebrat Rhodopeius Orpheus ,",Rhodopeius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l100.w5,984360
estlocus1,Acheronque,Bellides implerunt Acheronque obmutuit undis .,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l104.w3,984476
estlocus1,Thyrintius,Quem contra breuibus fatur Thyrintius heros :,Tirynthius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l108.w5,984612
estlocus1,Thracius,""" Thracius ad sedes Erebi descendere uates",Thracius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l109.w1,984633
estlocus4,Erebi,""" Thracius ad sedes Erebi descendere uates",Erebus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l109.w4,984645
estlocus4,Ditis,Fas mihi sit patrui sedes inuisere Ditis ? !,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l113.w7,984781
estlocus4,Erebi,Iussit adire domos Erebi Stygiamque paludem,Erebus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l115.w4,984847
estlocus1,Stygiamque,Iussit adire domos Erebi Stygiamque paludem,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l115.w5,984851
