estLocus,Nomen,Textus,LEMMA,LOCI CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Creta,"Aut sua Scipiadae dedit Affrica , Creta Metello ,",Creta,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l7.w6,88702.0,,,,,,,,,,,,,,,,,
estlocus2,Haesperia,"Siue haec Haesperia est , siue Arctica stella uicissim ,",Hesperius,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l27.w3,90106.0,,,,,,,,,,,,,,,,,
estlocus2,Arctica,"Siue haec Haesperia est , siue Arctica stella uicissim ,",arcticus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l27.w6,90122.0,,,,,,,,,,,,,,,,,
estlocus4,Dictaeum,"Qualia Dictaeum malit habere genus ,",Dictaeus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l32.w2,90286.0,,,,,,,,,,,,,,,,,
estlocus2,Dionaeo,"Atque Dionaeo multum praefulgurat astro ,",Dionaeus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l33.w2,90314.0,,,,,,,,,,,,,,,,,
estlocus4,Berenicaea,Et Berenicaea clarior illa coma est .,Bereniceus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l34.w2,90342.0,,,,,,,,,,,,,,,,,
estlocus1,Ferraria,"Praecipue intonsos uellit Ferraria crines ,",Ferraria,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l5.w4,89395.0,,,,,,,,,,,,,,,,,
estlocus1,Arctos,Hesperus atque Arctos hanc meruere ducem .,Arctos,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div12.l4.w3,90627.0,,,,,,,,,,,,,,,,,
estlocus2,Arctoae,"Nam primum Arctoae censetur origine stellae ,",arctous,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div12.l5.w3,90659.0,,,,,,,,,,,,,,,,,
estlocus4,Hesperii,Sed mox Hesperii sanguinis illa fuit .,Hesperius,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div12.l6.w3,90691.0,,,,,,,,,,,,,,,,,
estlocus4,Ausoniis,Temperat Ausoniis Martia castra modis .,Ausonius,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div15.l16.w2,92520.0,,,,,,,,,,,,,,,,,
estlocus4,Illyrico,"Non hic Illyrico , uerum sermone Latino",Illyricus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div15.l35.w3,93111.0,,,,,,,,,,,,,,,,,
estlocus3,Aethiopes,Aethiopes nigro tales perhibentur in aestu,Aethiops,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div16.l27.w1,94331.0,,,,,,,,,,,,,,,,,
estlocus4,Corcyraei,Aut Corcyraei regia mensa ducis .,Corcyraeus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div16.l32.w2,94487.0,,,,,,,,,,,,,,,,,
estlocus2,Ausonios,"Rursus et Ausonios pulsant proscenia colles ,",Ausonius,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div17.l15.w3,95060.0,,,,,,,,,,,,,,,,,
estlocus4,Cynosura,"Quas Cynosura rates , quas Parrhasis Vrsa gubernat ,",Cynosura,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div18.l1.w2,95613.0,,,,,,,,,,,,,,,,,
estlocus1,Canopus,"Sunt quorum extremus uela Canopus agit ,",Canopus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div18.l2.w5,95665.0,,,,,,,,,,,,,,,,,
estlocus4,Helice,"Tu mihi tu , Princeps , Helice , Cynosura , Canopus ,",helice,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div18.l7.w5,95841.0,,,,,,,,,,,,,,,,,
estlocus4,Cynosura,"Tu mihi tu , Princeps , Helice , Cynosura , Canopus ,",Cynosura,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div18.l7.w6,95849.0,,,,,,,,,,,,,,,,,
estlocus4,Canopus,"Tu mihi tu , Princeps , Helice , Cynosura , Canopus ,",Canopus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div18.l7.w7,95857.0,,,,,,,,,,,,,,,,,
estlocus1,Caucasus,"Parce tamen , parce , o , si te non Caucasus horrens",Caucasus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div2.l17.w8,76889.0,,,,,,,,,,,,,,,,,
estlocus2,Centauri,"Nec fera Centauri aut Lestrigonis educat aula ,",Centaurus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div2.l19.w3,76941.0,,,,,,,,,,,,,,,,,
estlocus4,Boreas,"Hinc , uelut Aeolio Boreas animosus ab antro ,",boreas,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div2.l31.w4,77336.0,,,,,,,,,,,,,,,,,
estlocus4,Caribdis,"Nec te , Sylla ferox , nec te uitasse , Caribdis ,",Charybdis,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div21.l17.w8,99703.0,,,,,,,,,,,,,,,,,
estlocus4,Caribdis,"Profuit : interius Sylla , Caribdis eras !",Charybdis,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div21.l18.w4,99735.0,,,,,,,,,,,,,,,,,
estlocus2,Cyaneas,Ah ego Cyaneas mallem rupesque Malaeae,Cyaneus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div21.l23.w3,99886.0,,,,,,,,,,,,,,,,,
estlocus4,Aegeas,Ergo uel Aegeas hyemes et saxa Capharei,Aegaeus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div21.l3.w3,99223.0,,,,,,,,,,,,,,,,,
estlocus2,Capharei,Ergo uel Aegeas hyemes et saxa Capharei,Caphareus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div21.l3.w7,99239.0,,,,,,,,,,,,,,,,,
estlocus1,Ceraunia,"Quod neque praeruptis sunt ausa Ceraunia saxis ,",Ceraunia,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div21.l7.w6,99355.0,,,,,,,,,,,,,,,,,
estlocus1,Auentini,Furis Auentini specus et Scyronia rupes,Aventinus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div21.l75.w2,101576.0,,,,,,,,,,,,,,,,,
estlocus1,Adria,"Quod neque spumosis Adria fecit aquis ,",Adria,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div21.l8.w4,99383.0,,,,,,,,,,,,,,,,,
estlocus4,Hyperborei,Gryphis Hyperborei praepes ad astra uolat .,hyperboreus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div26.l6.w2,103603.0,,,,,,,,,,,,,,,,,
estlocus1,Indus,Cum niger Indus ebur preciosaque uellera Seres,Indus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div27.l23.w3,104488.0,,,,,,,,,,,,,,,,,
estlocus1,Erythra,Et dabit huic gemmas diues Erythra suas .,Erythra,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div27.l24.w6,104532.0,,,,,,,,,,,,,,,,,
estlocus1,Germania,"Non tamen ereptis moeret Germania uittis ,",Germania,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div27.l5.w5,103917.0,,,,,,,,,,,,,,,,,
estlocus1,Gallia,"Gallia nec cristis aestuat orba suis ,",Gallia,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div27.l6.w1,103933.0,,,,,,,,,,,,,,,,,
