estLocus,Nomen,Textus,URN
estlocus0,Theseo,Tu misero defensor ades tutellaque Theseo .,bunic02.croala1761880.croala-lat2w:body.div2.l274.w6
estlocus0,Thoi,"Atque Thoi atque Amatis atque aurea Gallianira ,",bunic02.croala1761880.croala-lat2w:body.div1.l169.w2
estlocus1,Thraces,Thraces equi et Veneris niuei pascuntur olores ;,bunic02.croala1761880.croala-lat2w:body.div1.l285.w1
estlocus1,Thracius,"Alcide , neque te frater neque Thracius Orpheus",bunic02.croala1761880.croala-lat2w:body.div1.l109.w6
estlocus1,Thracius,""" Thracius ad sedes Erebi descendere uates",bunic02.croala1761880.croala-lat2w:body.div2.l109.w1
estlocus1,Thymbraee,Non te ad uulgatum Thymbraee uocamus Apollo,bunic02.croala1761880.croala-lat2w:body.div1.l14.w5
estlocus1,Thyrintius,Quem contra breuibus fatur Thyrintius heros :,bunic02.croala1761880.croala-lat2w:body.div2.l108.w5
estlocus1,Thyrio,Hinc media puppi Thyrio stans lucidus ostro,bunic02.croala1761880.croala-lat2w:body.div3.l312.w4
estlocus0,Tisiphone,"Verbera Tisiphone , tacitae stant ignibus umbrae .",bunic02.croala1761880.croala-lat2w:body.div3.l202.w2
estlocus0,Titanum,Aut fera Titanum belli conamina nescit ?,bunic02.croala1761880.croala-lat2w:body.div1.l16.w3
estlocus0,Titone,"Te croceis , Titone , toris Aurora reliquit",bunic02.croala1761880.croala-lat2w:body.div2.l2.w3
estlocus0,Tritonia,"Quae Tethym et Neptunum et te , Tritonia Pallas ,",bunic02.croala1761880.croala-lat2w:body.div1.l281.w7
estlocus0,Tritonis,"Bellipotens Tritonis hera , intemerata uirago ,",bunic02.croala1761880.croala-lat2w:body.div3.l226.w2
estlocus1,Troiam,"Deiicis , euertis Troiam , tu Albionas imbre",bunic02.croala1761880.croala-lat2w:body.div3.l338.w3
estlocus1,Troianus,""" Foelix Troianus Phrygia uenator ab Ida """,bunic02.croala1761880.croala-lat2w:body.div1.l259.w2
estlocus1,Tybris,Et flauus Tybris cornuque Achelous adempto,bunic02.croala1761880.croala-lat2w:body.div1.l221.w3
estlocus0,Typhaeum,"En nostras trahit exuuias , qui bella Typhaeum",bunic02.croala1761880.croala-lat2w:body.div2.l230.w7
estlocus0,Veneris,Thraces equi et Veneris niuei pascuntur olores ;,bunic02.croala1761880.croala-lat2w:body.div1.l285.w4
estlocus0,Virginibus,Virginibus satyros cupiens miscere Lacaenis .,bunic02.croala1761880.croala-lat2w:body.div1.l216.w1
estlocus0,Virginis,"Virginis ora gerens et foedi crura draconis ,",bunic02.croala1761880.croala-lat2w:body.div3.l78.w1
estlocus0,Vlixem,Hoc et Neritium cantu sopisset Vlixem,bunic02.croala1761880.croala-lat2w:body.div3.l319.w6
estlocus4,Vrbis,Vrbis : que illyrici caput tenetur .,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l14.app.rdg1.w1
estlocus0,Vulcano,"Vulcano candente ferunt , qua buccina Martem",bunic02.croala1761880.croala-lat2w:body.div2.l198.w1
estlocus0,Vulcanus,"Taenara et Aetnaeis torrens Vulcanus ab antris ,",bunic02.croala1761880.croala-lat2w:body.div3.l129.w5
