estLocus,Nomen,Textus,URN
estlocus0,Circaeis,"Scyllaque , Circaeis quoi latrant inguina monstris ,",bunic02.croala1761880.croala-lat2w:body.div1.l35.w2
estlocus0,Cleonei,"Alta Cleonei fulserunt terga leonis ,",bunic02.croala1761880.croala-lat2w:body.div2.l209.w2
estlocus1,Cocyte,"Et ripis , Cocyte , tuis graue labile flumen .",bunic02.croala1761880.croala-lat2w:body.div3.l205.w3
estlocus1,Cocyti,Sed neque Cocyti nox importuna nec Orci,bunic02.croala1761880.croala-lat2w:body.div2.l257.w3
estlocus1,Colchon,"Colchon , et Oethei ducebat Phasydos undas ,",bunic02.croala1761880.croala-lat2w:body.div1.l116.w1
estlocus1,Corinthiaco,Mira Corinthiaco narrabat facta tyranno .,bunic02.croala1761880.croala-lat2w:body.div3.l327.w2
estlocus0,Corytus,Corytus calamique leues et thyrsus Iaccho ;,bunic02.croala1761880.croala-lat2w:body.div2.l120.w1
estlocus0,Cybelles,Atque leues Gallae et furibundae sacra Cybelles .,bunic02.croala1761880.croala-lat2w:body.div1.l264.w7
estlocus0,Cyclopis,Sidat et in uastum Polyphaemi Cyclopis antrum,bunic02.croala1761880.croala-lat2w:body.div3.l263.w6
estlocus0,Cyclops,Obuius at Cyclops trunco Polyphaemus obusto,bunic02.croala1761880.croala-lat2w:body.div3.l266.w3
estlocus1,Cyllenia,Sed lyra iam reticet lassi Cyllenia Phoebi .,bunic02.croala1761880.croala-lat2w:body.div3.l347.w6
estlocus1,Cyllenis,Cyllenis fidibus uoces imitata canentis .,bunic02.croala1761880.croala-lat2w:body.div2.l95.w1
estlocus0,Cymbala,Cymbala quoi tollunt moestas resonantia curas,bunic02.croala1761880.croala-lat2w:body.div1.l263.w1
estlocus0,Cymodoceque,"Limnoria , Actei Cymodoceque",bunic02.croala1761880.croala-lat2w:body.div1.l166.app.rdg2.w3
estlocus0,Cymodoceque,"Cymothoe , Cymodoceque ,",bunic02.croala1761880.croala-lat2w:body.div1.l167.app.rdg1.w2
estlocus0,Cymothoe,"Cymothoe , Cymodoceque ,",bunic02.croala1761880.croala-lat2w:body.div1.l167.app.rdg1.w1
estlocus0,Cymothoeque,Cymothoeque Legaeaque Spio,bunic02.croala1761880.croala-lat2w:body.div1.l167.app.rdg2.w1
estlocus4,Cyntho,Seu tua Latoo potius cunabula Cyntho,bunic02.croala1761880.croala-lat2w:body.div1.l12.w6
estlocus4,Cypria,"Cypria diua , geris candenti in corpore uulnus . """,bunic02.croala1761880.croala-lat2w:body.div3.l189.w1
estlocus0,Cyrenis,Gurgite aristeisaristeisAristaeis Euro spirante Cyrenis .,bunic02.croala1761880.croala-lat2w:body.div1.l72.w4
estlocus0,Cytheri,Siluas Idalii et nemus Cytheri,bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l2.w5
estlocus1,Dalmaticus,"Dalmaticus Naron , Phasis Phrygiusque Caycus ,",bunic02.croala1761880.croala-lat2w:body.div1.l225.w1
estlocus1,Dardana,"Mox ait , "" ad caelum raptus , quoi Dardana pubes",bunic02.croala1761880.croala-lat2w:body.div1.l260.w7
estlocus0,Delphinas,Delphinas stimulate uagos ! Cristalla ferantur,bunic02.croala1761880.croala-lat2w:body.div1.l180.w1
estlocus0,Diana,Pluto tenet gestatque suam Diana pharetram ?,bunic02.croala1761880.croala-lat2w:body.div2.l122.w5
estlocus0,Dianae,"Turba pharetratae nec adhuc uitiata Dianae ,",bunic02.croala1761880.croala-lat2w:body.div1.l168.w6
estlocus0,Dianassa,Et cythara Dianassa sonans miranda tricordi,bunic02.croala1761880.croala-lat2w:body.div1.l194.w3
estlocus4,Dictaei,Dictaei fratres saeuas Acherontis habenas,bunic02.croala1761880.croala-lat2w:body.div3.l43.w1
estlocus0,Diomedis,"Armipotens Gradiue pater , Diomedis acuta",bunic02.croala1761880.croala-lat2w:body.div3.l186.w4
