estLocus,Nomen,Textus,LEMMA,LOCI CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Acheronte,Et quanquam sese quod saeuo Acheronte manebat,Acheron,50602.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l253.w6,978293.0,,,,,,,,,,,,,,,,,
estlocus1,Troianus,""" Foelix Troianus Phrygia uenator ab Ida """,Troianus,50723.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l259.w2,978475.0,,,,,,,,,,,,,,,,,
estlocus1,Phrygia,""" Foelix Troianus Phrygia uenator ab Ida """,Phrygius,50693.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l259.w3,978479.0,,,,,,,,,,,,,,,,,
estlocus1,Ida,""" Foelix Troianus Phrygia uenator ab Ida """,Ida,50646.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l259.w6,978491.0,,,,,,,,,,,,,,,,,
estlocus1,Dardana,"Mox ait , "" ad caelum raptus , quoi Dardana pubes",Dardanus,50631.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l260.w7,978540.0,,,,,,,,,,,,,,,,,
estlocus1,Phrygiis,"Foelix ille puer Phrygiis in montibus Atys ,",Phrygius,50693.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l262.w4,978602.0,,,,,,,,,,,,,,,,,
estlocus1,Gallae,Atque leues Gallae et furibundae sacra Cybelles .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l264.w3,978664.0,,,,,,,,,,,,,,,,,
estlocus1,Stygias,"Heu , nimium infoelix - - - Stygias inhumatus arenas",Stygius,50706.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l266.w4,978766.0,,,,,,,,,,,,,,,,,
estlocus4,Oceanum,Oceanum terras magnis discumbere mensis,Oceanus,50677.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l274.w1,979103.0,,,,,,,,,,,,,,,,,
estlocus1,Aethiopum,Regna per Aethiopum . - - - Postquam genitoris adiuit,Aethiopus,50603.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l275.w3,979136.0,,,,,,,,,,,,,,,,,
estlocus4,Oceanum,"Oceanum mentemque Iouis cum coniuge saeua ,",Oceanus,50677.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l280.w1,979309.0,,,,,,,,,,,,,,,,,
estlocus4,Latona,"Quae prolem , Latona , tuam stridente sub ipsis",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l283.w3,979436.0,,,,,,,,,,,,,,,,,
