CITE URN,Latin lemma,Short description,Created by,Created on
urn:cite:croala:latlexent.lex50017.1,Nemeaeus,Adjective describing belonging to Nemea,http://orcid.org/0000-0001-5515-6545,2016-10-26
urn:cite:croala:latlexent.lex50018.1,Idume,Poetic name for a region of Palestine. Idumaea.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50019.1,Arabs,The name for an Arabian.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50020.1,Antenoreus,"Adjective describing belonging to Antenor (a noble Trojan) or, in an extended signification, to Padua. Patavian, Paduan.",http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50021.1,Gnosiacus,Adjective describing belonging to Knossos (Crete).,http://orcid.org/0000-0001-5515-6545,2016-10-26
urn:cite:croala:latlexent.lex50022.1,Judaeus,Adjective describing belonging to Judea. Jewish.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50023.1,Jordanis,Name of the principal river of Palestine (Jordan).,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50024.1,Albania,Name of a province in Illyricum. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50025.1,Albensis,Adjective pertaining to the city of Alba Regia (Székesfehérvár).,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50026.1,Albius,"Name of a mountain range in south-central Croatia, Kapela.",http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50027.1,Alemanus,Name for the inhabitant of Germany. German.,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50028.1,Alemanicus,Adjective pertaining to Alemania (Germany). ,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50029.1,Perrhebus,Adjective describing belonging to Perrhaebia,http://orcid.org/0000-0001-5515-6545,2016-10-27
urn:cite:croala:latlexent.lex50030.1,Nestus,Name of a river in Thrace.,http://orcid.org/0000-0001-5515-6545,2016-10-27
urn:cite:croala:latlexent.lex50031.1,Alexandria,"Name of a city in Italy, in the region Piedmont. Alessandria.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50032.1,Alexandria,Name of a city in Egypt. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50033.1,Amasya,"Name of a town in Galatia, modern Turkey. Amisia.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50034.1,Ambracius,"Adjective pertaining to Ambracia, town in Epirus. Ambrachius.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50035.1,Amisia,"Name of a town in Galatia, modern Turkey. Amasya.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50036.1,Amysus,"Name of a town in Galatia, modern Turkey. Amasya.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50037.1,Angira,Name of a town in Turkey. Ankara. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50038.1,Antibarensis,"Adjective pertaining to the city Bar on the Adriatic coast, in Montenegro. ",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50039.1,Aphrica,Name denoting Africa. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50040.1,Aquilea,Name of a town in northern Italy. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50041.1,Aquileiensis,Adjective pertaining to Aquileia.,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50042.1,Erythraeus,Adjective pertaining to the Erythraean Sea.,http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50043.1,Hymettius,"Adjective describing belonging to Hymettus (a mountain near Athens, famed for its honey and its marble).",http://orcid.org/0000-0002-2135-6343,2016-10-28
